IQ,15 SD Percentile,Rarity: 1/X,16 SD Percentile,Rarity: 1/X
202.00,99.999999999500000%,190057377928.00,99.999999990800000%,10881440294.00
201.00,99.999999999200000%,119937672336.00,99.999999986200000%,7252401045.00
200.00,99.999999998700000%,76017176740.00,99.999999979400000%,4852159346.00
199.00,99.999999997900000%,48390420202.00,99.999999969300000%,3258706819.00
198.00,99.999999996800000%,30938221975.00,99.999999954500000%,2196908409.00
197.00,99.999999995000000%,19866426228.00,99.999999932700000%,1486736899.00
196.00,99.999999992200000%,12812462045.00,99.999999901000000%,1009976678.00
195.00,99.999999988000000%,8299126114.00,99.999999854800000%,688720101.00
194.00,99.999999981500000%,5399067340.00,99.999999787900000%,471441334.00
193.00,99.999999971700000%,3527693270.00,99.999999691300000%,323940499.00
192.00,99.999999956800000%,2314980850.00,99.999999552400000%,223436817.00
191.00,99.999999934500000%,1525765721.00,99.999999353600000%,154701783.00
190.00,99.999999901000000%,1009976678.00,99.999999069900000%,107519234.00
189.00,99.999999851100000%,671455130.00,99.999998666900000%,75011253.00
188.00,99.999999777000000%,448336263.00,99.999998096400000%,52530944.00
187.00,99.999999667400000%,300656786.00,99.999997292000000%,36927646.00
186.00,99.999999506200000%,202496482.00,99.999996162400000%,26057620.00
185.00,99.999999269900000%,136975305.00,99.999994582000000%,18457107.00
184.00,99.999998925400000%,93056001.00,99.999992379900000%,13123126.00
183.00,99.999998425000000%,63492548.00,99.999989323100000%,9366012.00
182.00,99.999997701600000%,43508721.00,99.999985096600000%,6709882.00
181.00,99.999996660400000%,29943596.00,99.999979275500000%,4825216.00
180.00,99.999995168400000%,20696863.00,99.999971289500000%,3483046.00
179.00,99.999993039800000%,14367357.00,99.999960376000000%,2523720.00
178.00,99.999990016600000%,10016587.00,99.999945519800000%,1835530.00
177.00,99.999985741700000%,7013455.00,99.999925375500000%,1340043.00
176.00,99.999979723700000%,4931877.00,99.999898167200000%,982001.00
175.00,99.999971289500000%,3483046.00,99.999861560500000%,722337.00
174.00,99.999959521100000%,2470424.00,99.999812501100000%,533337.00
173.00,99.999943173300000%,1759737.00,99.999747008800000%,395271.00
172.00,99.999920564700000%,1258887.00,99.999659919700000%,294048.00
171.00,99.999889436000000%,904454.00,99.999544562900000%,219569.00
170.00,99.999846766300000%,652598.00,99.999392358400000%,164571.00
169.00,99.999788535700000%,472893.00,99.999192318000000%,123811.00
168.00,99.999709421300000%,344141.00,99.998930431400000%,93496.00
167.00,99.999602409700000%,251515.00,99.998588912900000%,70867.00
166.00,99.999458304700000%,184606.00,99.998145283300000%,53917.00
165.00,99.999265108300000%,136074.00,99.997571256300000%,41174.00
164.00,99.999007244000000%,100730.00,99.996831396500000%,31560.00
163.00,99.998664590300000%,74883.00,99.995881509900000%,24281.00
162.00,99.998211284100000%,55906.00,99.994666725000000%,18750.00
161.00,99.997614249000000%,41916.00,99.993119219200000%,14533.00
160.00,99.996831396500000%,31560.00,99.991155541000000%,11307.00
159.00,99.995809441100000%,23863.00,99.988673473700000%,8829.00
158.00,99.994481264400000%,18120.00,99.985548388300000%,6920.00
157.00,99.992762756600000%,13817.00,99.981629027000000%,5443.00
156.00,99.990549055500000%,10581.00,99.976732662600000%,4298.00
155.00,99.987710102900000%,8137.00,99.970639578800000%,3406.00
154.00,99.984085428600000%,6284.00,99.963086821600000%,2709.00
153.00,99.979478076100000%,4873.00,99.953761178600000%,2163.00
152.00,99.973647580700000%,3795.00,99.942291350600000%,1733.00
151.00,99.966301917700000%,2968.00,99.928239296300000%,1394.00
150.00,99.957088346600000%,2330.00,99.911090742700000%,1125.00
149.00,99.945583088000000%,1838.00,99.890244879900000%,911.00
148.00,99.931279791900000%,1455.00,99.865003277700000%,741.00
